GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
jasmine-maven-plugin,com.github.searls.jasmine.coffee,DetectsCoffee,0,9,0,0,0,2,0,2,0,2
jasmine-maven-plugin,com.github.searls.jasmine.coffee,CoffeeScript.new ThreadLocal() {...},6,32,0,0,2,7,0,2,0,2
jasmine-maven-plugin,com.github.searls.jasmine.coffee,CoffeeScript,0,61,0,2,0,10,0,5,0,4
jasmine-maven-plugin,com.github.searls.jasmine.coffee,HandlesRequestsForCoffee,7,102,0,2,2,25,0,6,0,5
jasmine-maven-plugin,com.github.searls.jasmine.io.scripts,FindsScriptLocationsInDirectory,0,59,0,4,0,12,0,5,0,3
jasmine-maven-plugin,com.github.searls.jasmine.io.scripts,ConvertsFileToUriString,6,8,0,0,2,2,0,2,0,2
jasmine-maven-plugin,com.github.searls.jasmine.io.scripts,BasicScriptResolver,35,90,0,0,9,18,5,6,5,6
jasmine-maven-plugin,com.github.searls.jasmine.io.scripts,ContextPathScriptResolver,31,100,0,2,8,20,3,8,3,7
jasmine-maven-plugin,com.github.searls.jasmine.io.scripts,ResolvesLocationOfPreloadSources,0,81,0,12,0,13,0,9,0,3
jasmine-maven-plugin,com.github.searls.jasmine.io.scripts,ScriptResolverException,16,0,0,0,8,0,4,0,4,0
jasmine-maven-plugin,com.github.searls.jasmine.mojo,HelpMojo,905,0,110,0,156,0,71,0,16,0
jasmine-maven-plugin,com.github.searls.jasmine.mojo,Capability,14,17,0,0,6,7,4,5,4,5
jasmine-maven-plugin,com.github.searls.jasmine.mojo,ServerMojo,104,0,2,0,16,0,7,0,6,0
jasmine-maven-plugin,com.github.searls.jasmine.mojo,AbstractJasmineMojo,105,166,6,2,23,39,15,11,12,10
jasmine-maven-plugin,com.github.searls.jasmine.mojo,TestMojo,299,0,12,0,56,0,17,0,11,0
jasmine-maven-plugin,com.github.searls.jasmine.mojo,PhantomJsOptions,66,0,0,0,26,0,13,0,13,0
jasmine-maven-plugin,com.github.searls.jasmine.mojo,Context,26,0,0,0,11,0,6,0,6,0
jasmine-maven-plugin,com.github.searls.jasmine.io,ScansDirectory,0,106,0,2,0,16,0,5,0,4
jasmine-maven-plugin,com.github.searls.jasmine.io,RelativizesFilePaths,0,98,0,6,0,15,0,10,0,7
jasmine-maven-plugin,com.github.searls.jasmine.io,IOUtilsWrapper,0,13,0,0,0,3,0,3,0,3
jasmine-maven-plugin,com.github.searls.jasmine.format,FormatsScriptTags,0,31,0,2,0,6,0,3,0,2
jasmine-maven-plugin,com.github.searls.jasmine.format,BuildsJavaScriptToWriteFailureHtml,0,24,0,0,0,2,0,2,0,2
jasmine-maven-plugin,com.github.searls.jasmine.format,JasmineResultLogger,0,17,0,0,0,6,0,3,0,3
jasmine-maven-plugin,com.github.searls.jasmine.model,ScriptSearch,0,21,0,0,0,8,0,4,0,4
jasmine-maven-plugin,com.github.searls.jasmine.model,JasmineResult,0,30,0,0,0,7,0,6,0,6
jasmine-maven-plugin,com.github.searls.jasmine.driver,QuietHtmlUnitDriver.new IncorrectnessListener() {...},1,6,0,0,1,1,1,1,1,1
jasmine-maven-plugin,com.github.searls.jasmine.driver,QuietHtmlUnitDriver,0,26,0,2,0,8,0,3,0,2
jasmine-maven-plugin,com.github.searls.jasmine.driver,WebDriverFactory,93,168,16,16,22,41,17,17,6,12
jasmine-maven-plugin,com.github.searls.jasmine.collections,CollectionHelper,0,9,0,2,0,2,0,3,0,2
